Country,"Adults (1,000)",Wealth per adult (USD),Wealth per adult (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Gini (%)
Country,"Adults (1,000)",Mean,Median,Under 10k,10k – 100k,100k – 1M,Over 1M,Total,Gini (%)
Afghanistan,"16,245",643,290,99.6,0.4,0.0,0.0,100,64.4
Albania,"2,201","16,957","8,157",56.0,42.4,1.6,0.0,100,62.9
Algeria,"26,565","9,077","3,175",79.1,19.9,1.0,0.0,100,75.8
Angola,"12,934","7,921","3,175",79.9,19.5,0.6,0.0,100,71.5
Antigua and Barbuda,70,"19,497","4,712",73.0,23.9,2.9,0.2,100,83.8
Argentina,"29,953","11,530","3,176",80.9,17.9,1.1,0.1,100,79.2
Armenia,"2,175","7,583","3,391",80.7,18.8,0.5,0.0,100,64.5
Aruba,79,"45,612","14,901",40.0,50.0,9.7,0.3,100,73.0
Australia,"18,433","411,060","191,453",6.1,27.1,59.9,7.0,100,65.8
Austria,"7,075","231,368","70,074",25.2,30.4,41.1,3.2,100,76.4
Azerbaijan,"6,915","7,530","3,410",81.1,18.4,0.5,0.0,100,64.3
Bahamas,288,"47,822","11,385",48.0,45.1,6.3,0.6,100,84.2
Bahrain,"1,153","38,882","13,385",43.5,51.0,5.2,0.3,100,76.4
Bangladesh,"102,793","2,332","1,006",97.2,2.7,0.1,0.0,100,67.1
Barbados,213,"28,762","8,522",55.0,40.2,4.6,0.2,100,78.8
Belarus,"7,427","1,514",740,98.8,1.2,0.0,0.0,100,61.4
Belgium,"8,869","313,045","163,429",17.0,21.2,57.0,4.8,100,65.9
Belize,221,"8,961","2,298",84.0,14.9,1.1,0.0,100,81.5
Benin,"5,300","2,972","1,237",95.1,4.7,0.1,0.0,100,68.9
Bolivia,"6,530","7,306","2,111",83.9,15.4,0.7,0.0,100,77.9
Bosnia and Herzegovina,"2,805","14,110","6,762",61.7,37.1,1.2,0.0,100,63.2
Botswana,"1,375","10,793","3,652",76.5,22.1,1.4,0.0,100,78.3
Brazil,"147,836","16,664","4,263",74.0,24.1,1.8,0.1,100,82.3
Brunei,298,"42,925","14,154",43.0,51.2,5.4,0.4,100,78.6
Bulgaria,"5,752","23,984","11,013",47.0,49.9,3.0,0.1,100,64.7
Burkina Faso,"8,571","1,317",569,98.7,1.3,0.0,0.0,100,67.4
Burundi,"4,972",321,142,99.9,0.1,0.0,0.0,100,65.4
Cambodia,"9,598","3,404","1,365",94.8,5.0,0.2,0.0,100,70.4
Cameroon,"11,413","2,282",897,96.5,3.3,0.1,0.0,100,72.5
Canada,"28,858","288,263","106,342",20.7,28.2,46.6,4.5,100,72.6
Central African Republic,"2,132",960,332,98.8,1.1,0.0,0.0,100,76.8
Chad,"6,319",735,294,99.5,0.5,0.0,0.0,100,71.5
